name,email,phone,links,role,skills,education,experience_years,summary
Wendy Lewis,ervolyuz@email.com,"+1 1549203046
",https://linkedin.com/in/coyaabdnbx; https://github.com/zisurfyktr,Operations Analyst,sql; tableau; power bi; r; machine learning; statistics; hadoop; git; docker; data wrangling; data cleaning; seaborn; plotly; model deployment,Bachelor of Technology in Data Science and AI,12,"A dedicated and results-driven Operations Analyst with over 12 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Henry Walker,qbyjpwcx@email.com,"+1 2549175257
",https://linkedin.com/in/ojgsizldkz; https://github.com/xhwjebnehp,Data Analyst,tableau; power bi; r; pandas; machine learning; statistics; spark; git; docker; computer vision; model deployment; transformers,Bachelor of Engineering in AI and ML,13,"A dedicated and results-driven Geospatial Data Analyst with over 13 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Nina Cook,zkucomrv@email.com,"+1 6989177680
",https://linkedin.com/in/yftapfudrk; https://github.com/xkrlbxcdaq,Data Analytics Lead,python; tableau; power bi; r; c++; machine learning; statistics; spark; git; docker; natural language processing; plotly; azure; model deployment,,11,"A dedicated and results-driven Data Analytics Lead with over 11 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Zach Edwards,kwxyzfge@email.com,"+1 3451539515
",https://linkedin.com/in/codaxsgqxd; https://github.com/xqkotjbjaq,Bi Developer,sql; tableau; power bi; r; mysql; machine learning; statistics; git; docker; feature engineering; model deployment; data lakes; hugging face; dask,Master of Engineering in Computer Science,6,"A dedicated and results-driven BI Developer with over 6 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Eve Lewis,cbygxamw@email.com,"+1 2189943126
",https://linkedin.com/in/cdfoozjwke; https://github.com/poohkdpfpr,Data Journalist,tableau; power bi; r; c++; machine learning; statistics; big data; spark; git; docker; natural language processing; model deployment; data ethics; hugging face,Bachelor of Science in Industrial Engineering,3,"A dedicated and results-driven Data Journalist with over 3 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Charlie Lee,jnnshyyk@email.com,"+1 4843570565
",https://linkedin.com/in/gtkjspezly; https://github.com/mzbhqpndha,Data Scientist,tableau; power bi; r; machine learning; statistics; spark; git; docker; model evaluation; model deployment; mlops; fastapi,Master of Science in Information and Data Science,9,"A dedicated and results-driven Actuarial Data Scientist with over 9 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Tom Young,absmomxz@email.com,"+1 9740826006
",https://linkedin.com/in/grnhpbqnny; https://github.com/qcfrperosw,Ai Ethicist,sql; tableau; power bi; r; postgresql; machine learning; statistics; data visualization; git; docker; data cleaning; computer vision; azure; google cloud platform (gcp); model deployment; fastapi,Master of Science in Applied Data Science,12,"A dedicated and results-driven AI Ethicist with over 12 years of experience in data analysis, machine
learning, and predictive modeling. Skilled in transforming business needs into technical solutions using
modern data science tools and practices. Passionate about solving real-world problems through data-
driven approaches and delivering measurable outcomes."
Jason Flores,nedqzbbb@email.com,"+1 9359968697
",https://linkedin.com/in/nmvfewrhfy; https://github.com/qzjb,Data Analyst,tableau; power bi; r; java; machine learning; statistics; git; docker; kubernetes; data wrangling; etl pipelines; azure; model evaluation; model deployment; a/b testing; hugging face,Master of Science in Machine Learning,8,"A dedicated and results-driven Retail Data Analyst with over 8 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Karen Martin,dvhwlyzq@email.com,"+1 6177706475
",https://linkedin.com/in/nsbpjgwycf; https://github.com/rtkytmblnb,Customer Insights Analyst,tableau; power bi; r; machine learning; statistics; git; docker; kubernetes; plotly; google cloud platform (gcp); model evaluation; model deployment; data lakes,,10,"A dedicated and results-driven Customer Insights Analyst with over 10 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Grace Taylor,nukkoqib@email.com,"+1 3731807053
",https://linkedin.com/in/kkmqxsgijd; https://github.com/vlmkdrwtyh,Data Scientist,tableau; power bi; r; numpy; machine learning; statistics; big data; git; docker; seaborn; matplotlib; etl pipelines; model deployment; a/b testing; fastapi,Master of Science in Big Data Engineering,13,"A dedicated and results-driven Sports Data Scientist with over 13 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Grace Allen,vczwkkhz@email.com,"+1 4180238437
",https://linkedin.com/in/jatzlbeztk; https://github.com/pcsusemefo,Data Analyst,tableau; power bi; r; excel; machine learning; statistics; hadoop; git; docker; data wrangling; data cleaning; seaborn; model evaluation; model deployment; data governance,Bachelor of Science in Cybersecurity,11,"A dedicated and results-driven Product Data Analyst with over 11 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Charlie Adams,yfnlqtqt@email.com,"+1 7159099546
",https://linkedin.com/in/vi; https://github.com/ztxruznatq,Data Science Instructor,tableau; power bi; r; pandas; machine learning; deep learning; statistics; data mining; git; docker; feature engineering; model deployment; data lakes; data ethics,Master of Science in Information and Data Science,7,"A dedicated and results-driven Data Science Instructor with over 7 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Hannah Allen,dowygyhh@email.com,"+1 4460388641
",https://linkedin.com/in/nfdennkacx; https://github.com/lrrrirgvss,Personalized Systems Specialist,tableau; power bi; r; machine learning; statistics; git; docker; kubernetes; data cleaning; matplotlib; model deployment; data ethics; transformers,Bachelor of Arts in Statistics,9,"A dedicated and results-driven Personalized Systems Specialist with over 9 years of experience
in data analysis, machine learning, and predictive modeling. Skilled in transforming business needs
into technical solutions using modern data science tools and practices. Passionate about solving
real-world problems through data-driven approaches and delivering measurable outcomes."
Quinn Baker,oknkuc@email.com,"+1 7293326470
",https://linkedin.com/in/pvfhrsvczg; https://github.com/ceorwnrxrp,Open Source Contributor (Data),tableau; power bi; r; numpy; machine learning; deep learning; statistics; data visualization; spark; git; docker; data cleaning; model deployment; mlops; eda,,13,"A dedicated and results-driven Open Source Contributor (Data) with over 13 years of experience
in data analysis, machine learning, and predictive modeling. Skilled in transforming business needs
into technical solutions using modern data science tools and practices. Passionate about solving
real-world problems through data-driven approaches and delivering measurable outcomes."
Nathan Garcia,iszizcsg@email.com,"+1 8291386165
",https://linkedin.com/in/rmcgjchbyv; https://github.com/mzmukjatfp,Data Analytics Lead,python; sql; tableau; power bi; r; machine learning; statistics; data mining; git; docker; computer vision; plotly; model deployment; data governance; transformers; fastapi,Master of Science in Data Analytics,3,"A dedicated and results-driven Data Analytics Lead with over 3 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Eve Nelson,xilzaqwg@email.com,"+1 8313303241
",https://linkedin.com/in/wdvilkmyyl; https://github.com/k,Ml Ops Engineer,tableau; power bi; r; machine learning; statistics; data visualization; data mining; git; docker; plotly; model deployment; a/b testing; bayesian inference; eda; hugging face; fastapi,Bachelor of Science in Economics and Data Science,12,"A dedicated and results-driven ML Ops Engineer with over 12 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Diana Campbell,maofkebo@email.com,"+1 3982769857
",https://linkedin.com/in/crzbnssczh; https://github.com/xipttbomad,Data Analyst,tableau; power bi; r; scikit-learn; machine learning; statistics; git; docker; model evaluation; model deployment; data lakes; data governance; data ethics; transformers; hugging face,Master of Science in Information and Data Science,6,"A dedicated and results-driven Retail Data Analyst with over 6 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Nina Brown,dg@email.com,"+1 3679512624
",https://linkedin.com/in/apojmdnrmm; https://github.com/xggqfthtfg,Data Strategist,python; tableau; power bi; r; pandas; machine learning; deep learning; statistics; hadoop; git; docker; model deployment,Master of Science in Data Analytics,12,"A dedicated and results-driven Data Strategist with over 12 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Noah Flores,puztysls@email.com,"+1 3184584847
",https://linkedin.com/in/easstkcgwj; https://github.com/tdkukpdahs,Data Analyst,python; sql; tableau; power bi; r; excel; machine learning; statistics; spark; git; docker; aws; model deployment; data lakes,Master of Science in Machine Learning,5,"A dedicated and results-driven Marketing Data Analyst with over 5 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Jack Johnson,yygznemx@email.com,"+1 4478291103
",https://linkedin.com/in/bdxyqikokw; https://github.com/nwioxepzxw,Data Analyst,sql; tableau; power bi; r; mysql; machine learning; statistics; git; docker; natural language processing; model deployment; data lakes,,6,"A dedicated and results-driven Transportation Data Analyst with over 6 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Jack Campbell,jjovelxy@email.com,"+1 2615535205
",https://linkedin.com/in/qdbfmscnxo; https://github.com/petuqukwpw,Open Source Contributor (Data),tableau; power bi; r; pandas; machine learning; statistics; git; docker; seaborn; model evaluation; model deployment; data ethics,,9,"A dedicated and results-driven Open Source Contributor (Data) with over 9 years of experience
in data analysis, machine learning, and predictive modeling. Skilled in transforming business needs
into technical solutions using modern data science tools and practices. Passionate about solving
real-world problems through data-driven approaches and delivering measurable outcomes."
Ethan Wright,hmkjjntr@email.com,"+1 8839062742
",https://linkedin.com/in/xyrbyclwsk; https://github.com/vxxpypuksh,Data Science Manager,tableau; power bi; r; pandas; machine learning; statistics; hadoop; git; docker; etl pipelines; azure; model deployment,Bachelor of Science in Economics and Data Science,7,"A dedicated and results-driven Data Science Manager with over 7 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Bob Davis,zkrbxtyj@email.com,"+1 2354397286
",https://linkedin.com/in/cfgzpzkjel; https://github.com/abvwjxbdie,Customer Insights Analyst,sql; tableau; power bi; r; machine learning; statistics; big data; git; docker; matplotlib; plotly; etl pipelines; model deployment; mlops,Master of Science in Business Analytics,9,"A dedicated and results-driven Customer Insights Analyst with over 9 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Katie Miller,mnajclch@email.com,"+1 8542199541
",https://linkedin.com/in/qhfoiqrbdb; https://github.com/cjiofoasqi,Fraud Analyst,sql; tableau; power bi; r; mysql; postgresql; machine learning; deep learning; statistics; git; docker; seaborn; plotly; feature engineering; model deployment; data ethics,Bachelor of Science in Robotics and AI,14,"A dedicated and results-driven Fraud Analyst with over 14 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Yolanda Morris,tqbuyint@email.com,"+1 5838196157
",https://linkedin.com/in/elkdndrsaq; https://github.com/jxdckwppuh,Business Analyst,sql; tableau; power bi; r; scikit-learn; mysql; machine learning; statistics; git; docker; kubernetes; model deployment; data lakes,Master of Technology in AI and Robotics,10,"A dedicated and results-driven Business Analyst with over 10 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Diana King,wnbrcnma@email.com,"+1 7099034125
",https://linkedin.com/in/nugovguhle; https://github.com/fyapwmaqgo,Data Analyst,sql; tableau; power bi; r; mysql; java; machine learning; statistics; data visualization; git; docker; matplotlib; model deployment; data lakes; data governance,Master of Technology in AI and Robotics,15,"A dedicated and results-driven Retail Data Analyst with over 15 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Xavier Flores,algrxnrg@email.com,"+1 8454519119
",https://linkedin.com/in/dfawtyzzjc; https://github.com/vfpkaaijtd,Decision Scientist,tableau; power bi; r; scikit-learn; machine learning; deep learning; statistics; git; docker; etl pipelines; model deployment; data governance; data ethics; fastapi,Bachelor of Science in Computer Engineering,4,"A dedicated and results-driven Decision Scientist with over 4 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Uma Torres,gwdpneuq@email.com,"+1 3608556045
",https://linkedin.com/in/jcbnvtnvdl; https://github.com/ftfnrrfnhm,Business Analyst,sql; tableau; power bi; r; pandas; scikit-learn; postgresql; machine learning; statistics; git; docker; plotly; aws; model deployment; a/b testing,Bachelor of Science in Articial Intelligence,14,"A dedicated and results-driven Business Analyst with over 14 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Samantha Davis,ogvoeart@email.com,"+1 2832110286
",https://linkedin.com/in/jzcwkullog; https://github.com/khq,Data Analyst,tableau; power bi; r; excel; machine learning; statistics; data mining; git; docker; matplotlib; plotly; feature engineering; model deployment,Master of Science in Computer Science,11,"A dedicated and results-driven Public Policy Data Analyst with over 11 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Tom Smith,lvdkxlll@email.com,"+1 1386254439
",https://linkedin.com/in/cvfuqilarr; https://github.com/cyeysglbkx,Data Journalist,tableau; power bi; r; machine learning; statistics; git; docker; computer vision; seaborn; aws; model deployment; mlops,,8,"A dedicated and results-driven Data Journalist with over 8 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
George Martin,rhkqlcqs@email.com,"+1 4790600255
",https://linkedin.com/in/jgjpqvjtnd; https://github.com/qsnrljgjkb,Nlp Engineer,tableau; power bi; r; machine learning; statistics; spark; git; docker; natural language processing; matplotlib; model deployment; data ethics,Master of Science in Predictive Analytics,10,"A dedicated and results-driven NLP Engineer with over 10 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Bob Phillips,nyugckiu@email.com,"+1 6552107651
",https://linkedin.com/in/plruogmyts; https://github.com/nbulganten,Crm Analyst,sql; tableau; power bi; r; machine learning; statistics; git; docker; etl pipelines; model deployment; data governance; data ethics,Bachelor of Science in Cybersecurity,4,"A dedicated and results-driven CRM Analyst with over 4 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Pam Carter,pmtbmzdj@email.com,"+1 4951211619
",https://linkedin.com/in/aeglfwriez; https://github.com/ipnibomtvo,Data Engineer,tableau; power bi; r; machine learning; statistics; big data; hadoop; git; docker; seaborn; etl pipelines; model deployment; transformers; fastapi; dask,Master of Science in Big Data Engineering,12,"A dedicated and results-driven CRM Analyst with over 12 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Sophia Williams,v@email.com,"+1 9410725936
",https://linkedin.com/in/zx; https://github.com/spvkfggoyl,Business Analyst,tableau; power bi; r; machine learning; statistics; git; docker; kubernetes; data wrangling; model deployment; hugging face; dask,Bachelor of Science in Digital Transformation,7,"A dedicated and results-driven Business Analyst with over 7 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
David Hill,stqnduhp@email.com,"+1 7922259320
",https://linkedin.com/in/ervlfokpji; https://github.com/tizewkbvry,Personalized Systems Specialist,tableau; power bi; r; c++; machine learning; statistics; data mining; git; docker; plotly; aws; model evaluation; model deployment,,13,"A dedicated and results-driven Personalized Systems Specialist with over 13 years of experience
in data analysis, machine learning, and predictive modeling. Skilled in transforming business needs
into technical solutions using modern data science tools and practices. Passionate about solving
real-world problems through data-driven approaches and delivering measurable outcomes."
Diana Edwards,nbegipji@email.com,"+1 5590135569
",https://linkedin.com/in/akqqbawqvh; https://github.com/tubtqyyhtd,Data Analyst,python; tableau; power bi; r; pandas; machine learning; deep learning; statistics; data mining; git; docker; seaborn; model deployment; eda,Master of Science in Quantitative Finance,13,"A dedicated and results-driven IoT Data Analyst with over 13 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Ryan Smith,sazmyyjy@email.com,"+1 2469093000
",https://linkedin.com/in/tzmjzcdqiv; https://github.com/yqqjwlaihr,Risk Analyst,sql; tableau; power bi; r; numpy; c++; machine learning; statistics; spark; git; docker; data cleaning; plotly; feature engineering; model deployment; dask,Master of Science in Computational Statistics,15,"A dedicated and results-driven Risk Analyst with over 15 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Noah Hall,rcxmeaem@email.com,"+1 8682468317
",https://linkedin.com/in/izagbxyqew; https://github.com/ckhmaltpwx,Ai Product Manager,sql; tableau; power bi; r; postgresql; machine learning; statistics; data visualization; data mining; git; docker; kubernetes; matplotlib; model deployment,Master of Science in Computational Statistics,15,"A dedicated and results-driven AI Product Manager with over 15 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Charlie Evans,fwrnldsx@email.com,"+1 2745506242
",https://linkedin.com/in/fofxetqmmf; https://github.com/ysrornozcs,Data Scientist,tableau; power bi; r; machine learning; statistics; git; docker; computer vision; model deployment; data governance; a/b testing,Master of Science in Business Analytics,10,"A dedicated and results-driven Sports Data Scientist with over 10 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Riley Nguyen,mxtcbynr@email.com,"+1 6225847920
",https://linkedin.com/in/ssybmoxoks; https://github.com/dnxuyozfcf,Ai Engineer,sql; tableau; power bi; r; postgresql; java; machine learning; statistics; git; docker; kubernetes; model deployment,Bachelor of Science in Information Technology,4,"A dedicated and results-driven AI Engineer with over 4 years of experience in data analysis, machine
learning, and predictive modeling. Skilled in transforming business needs into technical solutions using
modern data science tools and practices. Passionate about solving real-world problems through data-
driven approaches and delivering measurable outcomes."
Ryan Martinez,bdmpqnxh@email.com,"+1 1976529460
",https://linkedin.com/in/muhheezkgt; https://github.com/qrfecdqenl,Data Strategist,sql; tableau; power bi; r; pandas; mysql; machine learning; statistics; git; docker; kubernetes; data wrangling; natural language processing; seaborn; plotly; etl pipelines; feature engineering; model deployment,,5,"A dedicated and results-driven Data Strategist with over 5 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Jack Edwards,qohshnbs@email.com,"+1 8967178276
",https://linkedin.com/in/esxezvixpw; https://github.com/rynmzhfycg,Data Analyst,sql; tableau; power bi; r; c++; machine learning; statistics; data mining; git; docker; matplotlib; plotly; model deployment,Bachelor of Science in Operations Research,5,"A dedicated and results-driven HR Data Analyst with over 5 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Karen Adams,teautcns@email.com,"+1 0210674478
",https://linkedin.com/in/mrfyfjdxvc; https://github.com/czporlssiu,Risk Analyst,tableau; power bi; r; scikit-learn; machine learning; statistics; hadoop; git; docker; data cleaning; model deployment; mlops; data ethics; bayesian inference; eda; hugging face,Bachelor of Science in Mathematics,10,"A dedicated and results-driven Risk Analyst with over 10 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Henry Hill,xtkcpfaf@email.com,"+1 6437220970
",https://linkedin.com/in/yqjhienrox; https://github.com/sghunv,Data Analyst,sql; tableau; power bi; r; numpy; postgresql; machine learning; statistics; data visualization; git; docker; model deployment; bayesian inference; fastapi,Bachelor of Science in Information Technology,13,"A dedicated and results-driven Data Analyst with over 13 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
